id	name	link	seller	price	original_price	lectures	hours	level	Sat Jan 23 18:56:08 2021
150	the-advanced-qlik-sense-masterclass/	https://www.udemy.com/course/the-advanced-qlik-sense-masterclass/	Shilpan Patel	49.99	NULL	60	5	Intermediate	
151	easy-excel-dashboards-models-visualizations-power-query/	https://www.udemy.com/course/easy-excel-dashboards-models-visualizations-power-query/	Jonathan Ng	12.99	94.99	19	2.5	All Levels	
152	alteryx-real-life-exercises-for-data-analytics/	https://www.udemy.com/course/alteryx-real-life-exercises-for-data-analytics/	Renato Baruti	14.99	109.99	38	5.5	All Levels	
153	microsoft-excel-formulas-for-office-use/	https://www.udemy.com/course/microsoft-excel-formulas-for-office-use/	LOGISTICS   Supply Chain World	12.99	19.99	17	1	Beginner	
154	text-mining-and-sentiment-analysis-with-tableau-and-r/	https://www.udemy.com/course/text-mining-and-sentiment-analysis-with-tableau-and-r/	R Tutorials Training	15.99	94.99	36	4	All Levels	
155	complete-python-based-image-processing-and-computer-vision/	https://www.udemy.com/course/complete-python-based-image-processing-and-computer-vision/	Minerva Singh	14.99	109.99	60	5.5	All Levels	
156	tableauserver2019/	https://www.udemy.com/course/tableauserver2019/	Siddharth Pawar	13.99	19.99	49	7	All Levels	
157	the-data-analyst-bootcamp/	https://www.udemy.com/course/the-data-analyst-bootcamp/	Rajeev D  Ratan	16.99	124.99	129	15	Beginner	
158	excel-charts/	https://www.udemy.com/course/excel-charts/	R Tutorials Training	12.99	19.99	30	3	Beginner	
159	business-analysis-demonstrated/	https://www.udemy.com/course/business-analysis-demonstrated/	Cristian Fador	12.99	94.99	46	3.5	All Levels	
160	complete-data-science-course-beginner-to-advance/	https://www.udemy.com/course/complete-data-science-course-beginner-to-advance/	Marufa Yasmin	12.99	94.99	30	2.5	All Levels	
161	python-for-time-series-analysis-and-forecasting-arima/	https://www.udemy.com/course/python-for-time-series-analysis-and-forecasting-arima/	R Tutorials Training	14.99	99.99	46	5	All Levels	
162	data-cleaning-in-r-tidyverse/	https://www.udemy.com/course/data-cleaning-in-r-tidyverse/	R Tutorials Training	14.99	99.99	37	4	All Levels	
163	business-analysis-essentials/	https://www.udemy.com/course/business-analysis-essentials/	Cristian Fador	12.99	94.99	84	5.5	Beginner	
164	how-to-conduct-market-research-in-startups-and-small-firms/	https://www.udemy.com/course/how-to-conduct-market-research-in-startups-and-small-firms/	Asen Gyczew	14.99	89.99	86	6	Intermediate	
165	learn-data-warehousing-and-analysis-with-microsoft-bi-tools/	https://www.udemy.com/course/learn-data-warehousing-and-analysis-with-microsoft-bi-tools/	Data Science Guide	12.99	19.99	77	5	All Levels	
166	advanced-excel-dashboard-with-business-intelligence/	https://www.udemy.com/course/advanced-excel-dashboard-with-business-intelligence/	Yoda Learning	14.99	99.99	64	4	All Levels	
167	data-analysis-statistical-optimization-using-ms-excel/	https://www.udemy.com/course/data-analysis-statistical-optimization-using-ms-excel/	Gopal Prasad Malakar	13.99	19.99	28	3	Expert	
168	mastering-the-art-of-data-visualization-2020/	https://www.udemy.com/course/mastering-the-art-of-data-visualization-2020/	Joshua Brindley	17.99	129.99	27	5	All Levels	
169	an-introduction-to-stata/	https://www.udemy.com/course/an-introduction-to-stata/	Najib Mozahem	14.99	24.99	40	3.5	Beginner	
170	microsoftbusinessintelligence/	https://www.udemy.com/course/microsoftbusinessintelligence/	Ikram Haq	12.99	94.99	38	3	All Levels	
